##1
#EAN Location Code,0,13,0
#Company Name,0,50,0
#Customer Code,0,25,0
#Short Name,0,10,0
#
|6            |บมจ. ซีพีแอ็กซ์ตร้าสาขาที่ 6 (เชียงใหม่)          |11022                    |MAKRO     
|60           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 60  (สาขาตราด)         |351028                   |MAKRO    
|61           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 61  (สาขาชุมแพ)        |451139                   |MAKRO    
|62           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 62 (สาขาราไวย์)        |641072                   |MAKRO    
|63           |บมจ.ซีพีแอ็กซ์ตร้า  สาขาที่ 63  (สาขานครพนม)      |571065                   |MAKRO    
|64           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 64 (สาขาเกาะพะงัน)     |741145                   |MAKRO    
|65           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 65 (สาขาบึงกาฬ)        |591003                   |MAKRO    
|66           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 66 (สาขาพัทยาเหนือ)    |321142                   |MAKRO    
|67           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 67  ( สาขาแม่สาย)      |191116                   |MAKRO    
|68           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 68 (สาขาศาลายา)        |983670                   |MAKRO    
|69           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 69 (สาขา พัทลุง)       |671043                   |MAKRO    
|7            |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 7 (โคราช)             |511064                   |MAKRO    
|70           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 70 (สาขา สุโขทัย)      |141067                   |MAKRO    
|71           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 71 (สาขาป่าตอง)        |641071                   |MAKRO    
|72           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 72   (สาขาสมุทรสาคร)   |983674                   |MAKRO    
|73           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 73 (สาขาแม่สอด)        |41092                    |MAKRO     
|74           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 74 (สาขาปากช่อง)       |511220                   |MAKRO    
|75           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 75 (สาขาถลาง)          |641074                   |MAKRO    
|76           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 76 ( สาขาระนอง)        |621055                   |MAKRO    
|77           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 77 ( สาขาละไม)         |741146                   |MAKRO    
